Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,F1-Score(1),Precision(1),Recall(1),F1-Score(0),Precision(0),Recall(0),F2-Score(1)
Decision Tree,Original,Tuned,0.5,0.8797903552944467,0.8353335193971533,0.7414548641542507,0.7818853974121996,0.705,0.8791973791973792,0.8584566173530588,0.9009651699538397,0.7191431485889154
Decision Tree,Original,Tuned,0.55,0.8797903552944467,0.8353335193971533,0.7414548641542507,0.7818853974121996,0.705,0.8791973791973792,0.8584566173530588,0.9009651699538397,0.7191431485889154
Decision Tree,Original,Tuned,0.6,0.8797903552944467,0.8353335193971533,0.7414548641542507,0.7818853974121996,0.705,0.8791973791973792,0.8584566173530588,0.9009651699538397,0.7191431485889154
Decision Tree,Original,Tuned,0.65,0.8797903552944467,0.8144013396595032,0.6902654867256637,0.7824709609292503,0.6175,0.8675034867503487,0.8258725341426404,0.9135543432647922,0.6446841830520271
Random Forest,Original,Baseline,0.35,0.8601418030493776,0.7348590566564331,0.6728650137741047,0.5733568075117371,0.8141666666666667,0.7770999530736743,0.8813198509845662,0.6949223667645824,0.7510762607626076
Random Forest,Original,Baseline,0.4,0.8601418030493776,0.7596985766117779,0.6790905702571748,0.6142953472690492,0.7591666666666667,0.8079411108632613,0.8623809523809524,0.7599664288711708,0.7249721470635047
Random Forest,Original,Baseline,0.45,0.8601418030493776,0.7895618197041585,0.6957223567393059,0.6744913928012519,0.7183333333333334,0.8391638225255973,0.8533622559652928,0.8254301300881242,0.709114840408029
Random Forest,Original,Baseline,0.5,0.8601418030493776,0.8107730951716439,0.7107508532423208,0.7281468531468531,0.6941666666666667,0.8593944421401908,0.8495284952849529,0.8694922366764583,0.7007065948855989
Random Forest,Original,Baseline,0.55,0.8601418030493776,0.8291934133407759,0.7213114754098361,0.7951807228915663,0.66,0.8768611670020121,0.8422883649014302,0.9143936214855225,0.6832298136645962
Random Forest,Original,Baseline,0.6,0.8601418030493776,0.8381244766955066,0.7235462345090562,0.8452115812917594,0.6325,0.8855564325177585,0.8357541899441341,0.941670163659253,0.666023166023166
Random Forest,Original,Baseline,0.65,0.8601418030493776,0.8300307005302819,0.6928895612708018,0.8773946360153256,0.5725,0.8825004823461315,0.8167857142857143,0.9597146454049518,0.615260612573885
Random Forest,Original,Tuned,0.35,0.8575006993985173,0.7482556516885291,0.6688693098384728,0.597769028871391,0.7591666666666667,0.7969383160738406,0.8596406022340942,0.7427612253462023,0.7202719797596457
Random Forest,Original,Tuned,0.4,0.8575006993985173,0.8093776165224672,0.7148225469728601,0.7163179916317992,0.7133333333333334,0.8568434290505135,0.8559463986599665,0.8577423415862359,0.7139282735613011
Random Forest,Original,Tuned,0.45,0.8575006993985173,0.8364499023164945,0.7360360360360361,0.8009803921568628,0.6808333333333333,0.881520420541852,0.8505657432696059,0.9148132605958875,0.7018900343642611
Random Forest,Original,Tuned,0.5,0.8575006993985173,0.8476137315099079,0.7429378531073446,0.8538961038961039,0.6575,0.8917096390321301,0.8454306130124106,0.9433487201007134,0.689203354297694
Random Forest,Original,Tuned,0.55,0.8575006993985173,0.8470555400502372,0.7337220602526725,0.87995337995338,0.6291666666666667,0.8927173061863743,0.8366972477064221,0.9567771716323962,0.6671968893601979
Random Forest,Original,Tuned,0.6,0.8575006993985173,0.8400781468043539,0.7113350125944584,0.8993630573248408,0.5883333333333334,0.8894035900405327,0.823445318084346,0.9668485102811583,0.6320501342882722
